i,n_samples,noise,SR,SR_time,TPOT,TPOTSR,AK,AKSR,LR,timeTPOT,timeTPOTSR,timeAK,timeAKSR,meanguess,generations,function_set,epochs,max_TPOT_time,TPOT_maximizer,AK_maximizer,polynomial,n_variables,n_terms,degree,best_pars_coef,y_std,y_mean,y_abs_mean,y_range,r2
0,5000,0.01,0.040984136,43.62296915,0.041504605,0.040988393,0.046496238,0.043154632,3.562376298,630.7746477,601.1815336,58.20634437,33.10196471,3.561548508,50,"['add', 'sub', 'mul', 'div']",,10,0.040988393,0.043154632,3*x1**2,1,3,3,0.005,3.5655,4.0945,4.0958,12.102,-0.000610989
1,5000,0.01,0.031401264,43.70728898,0.147071003,0.031423414,0.082364874,0.039124669,3.597100561,652.4610429,602.1949947,114.5121031,53.82657123,3.597553275,50,"['add', 'sub', 'mul', 'div']",,10,0.147071003,0.039124669,x2*(x1**2*x2 + x1 + x2),2,3,2,0.01,3.8154,3.1041,3.1234,23.212,-0.000676033
2,5000,0.01,1.282464382,41.81905985,0.603422085,0.260091195,0.127954408,0.086216736,3.953903535,647.9891782,602.9837496,222.3712106,115.1116526,5.096563699,50,"['add', 'sub', 'mul', 'div']",,10,0.260091195,0.086216736,x3*(x1 + x2**3*x3),3,2,3,0.005,5.4678,0.0046,2.9721,62.34,0.396812877
3,5000,0.01,0.018672961,43.60206342,0.105807046,0.018695216,0.073275886,0.029798059,1.948961566,627.9754119,600.4259529,228.4515605,73.80115962,2.468124347,50,"['add', 'sub', 'mul', 'div']",,10,0.018695216,0.029798059,x1*x2*x3 + x1*x3 + x1 + x3,3,4,1,0.005,2.5543,0.0058,1.8683,24.914,0.375169878
4,5000,0.01,0.027049051,42.60113597,0.028323077,0.027029678,0.042245636,0.038154068,2.37423126,604.5368445,601.0242484,59.38454342,58.38035417,2.368555766,50,"['add', 'sub', 'mul', 'div']",,10,0.028323077,0.038154068,2*x2**2,4,2,2,0.005,2.3992,2.7104,2.7111,8.0861,-0.008817721
5,5000,0.01,4.418764148,48.81891942,2.048397497,0.647967237,0.561965143,0.424080579,10.12777244,606.9475992,601.7692587,484.3768127,492.1423225,12.3406135,50,"['add', 'sub', 'mul', 'div']",,10,2.048397497,0.424080579,x1**2*x2**3*x3**2 + x1**2 + x2*x3**2,3,3,3,0.005,11.502,1.2402,5.5471,207.52,0.326472722
6,5000,0.01,0.019830166,44.3126862,0.021670758,0.01989816,0.024617715,0.022807402,1.776479713,602.7319963,601.7385471,67.42489028,38.39356256,3.373389267,50,"['add', 'sub', 'mul', 'div']",,10,0.01989816,0.022807402,x1**2*(x1 + 1),1,2,3,0.005,3.2148,1.342,2.0189,16.003,0.721858936
7,5000,0.01,7.019496994,42.23355484,2.954378563,4.961333642,2.237250914,1.415107087,8.060291383,635.26227,604.3051581,459.7895734,409.7852535,8.107377979,50,"['add', 'sub', 'mul', 'div']",,10,2.954378563,1.415107087,x2*(x1*x2*x3**2*x4*x5**2 + 1),5,2,2,0.005,8.1263,0.099,2.9376,256.9,0.011568085
8,5000,0.01,0.034052592,46.28975105,0.034503109,0.034074489,0.043533186,0.04173605,1.20711267,600.7538483,600.8562648,62.72531915,56.39976382,3.878732426,50,"['add', 'sub', 'mul', 'div']",,10,0.034503109,0.04173605,3*x1 + x2**2 + x2,2,5,2,0.005,3.8332,1.3733,3.386,18.097,0.903124733
9,5000,0.01,3.543241941,59.7870214,1.852973656,1.026433156,0.886867924,0.729086326,10.65381187,602.3017445,603.5612752,421.4671514,326.1685994,11.48894703,50,"['add', 'sub', 'mul', 'div']",,10,1.026433156,0.729086326,x1**3 + x1*x2**3 + x1*x2**2*x3 + x2**3*x3**3 + x3**3,3,5,3,0.005,11.194,-0.1714,6.4186,165.85,0.138959775
10,5000,0.01,0.054026431,44.39023995,0.056760865,0.05405417,0.069192012,0.05524138,4.865769627,605.2505918,609.3921752,67.77426052,53.19225883,4.865340392,50,"['add', 'sub', 'mul', 'div']",,10,0.056760865,0.05524138,4*x1**2,1,4,2,0.005,4.7697,5.4035,5.4055,16.159,-0.000561693
11,5000,0.01,2.476019214,44.70428967,0.857223282,0.605341877,0.494595891,0.435156178,3.358191845,607.490093,614.8123908,604.5115097,517.8805089,3.356873392,50,"['add', 'sub', 'mul', 'div']",,10,0.857223282,0.435156178,x2*x3*x4*(x1*x3 + x2),4,2,2,0.005,3.592,-0.0755,1.7521,63.216,-0.001305702
12,5000,0.01,1.600892869,54.30801129,0.191383762,0.45247792,0.306426308,0.248057669,4.180939417,604.6497269,601.9112778,487.2235203,450.2942667,5.043646524,50,"['add', 'sub', 'mul', 'div']",,10,0.191383762,0.248057669,x3*(x1*x2**3 + x3**2),3,2,3,0.05,5.0387,0.0755,3.1483,62.624,0.312767674
13,5000,0.01,5.849285993,46.26645541,3.482541814,2.891140456,1.255644128,1.212836438,9.532292045,608.7534962,609.9538777,460.3688023,672.8667145,9.90955824,50,"['add', 'sub', 'mul', 'div']",,10,2.891140456,1.255644128,x4*(2*x1**2*x2**2*x3 + x2**2*x3*x4 + 1),4,4,2,0.03,9.8905,-0.0325,4.5202,184.4,0.073997608
14,5000,0.01,0.022013944,41.92541409,0.02233783,0.022074303,0.036025322,0.025485595,2.668276914,602.3536928,601.1658351,111.1996174,47.35290933,2.965769069,50,"['add', 'sub', 'mul', 'div']",,10,0.022074303,0.025485595,x1*(2*x2 + 1),2,3,1,0.005,2.9232,0.0425,2.1469,19.48,0.18902014
15,5000,0.01,8.189165685,53.37864065,8.943440127,3.537777834,4.604419899,1.69263237,21.28254567,631.0609512,612.7718043,1290.725432,606.2980974,21.37096544,50,"['add', 'sub', 'mul', 'div']",,10,3.537777834,1.69263237,x1**3*x2**3 + x1**2*x2**3*x4**3 + x1*x4**2 + x3**2 + x4**2,4,5,3,0.02,19.967,2.664,9.0016,445.02,0.006479249
16,5000,0.01,0.02268024,44.9887445,1.139618871,0.022701229,0.568379572,0.038193148,4.122190264,601.7074783,607.2277353,385.4938645,105.7291324,4.346356953,50,"['add', 'sub', 'mul', 'div']",,10,1.139618871,0.038193148,x2*(x1*x2*x3**2*x4 + 1),4,2,2,0.03,4.495,-0.0636,2.2586,84.589,0.100325458
17,5000,0.01,34.59059506,43.43732023,19.57641494,26.05826184,28.47988321,22.43467685,34.42380529,601.4267414,609.5867307,216.1950493,543.893765,34.59003945,50,"['add', 'sub', 'mul', 'div']",,10,19.57641494,22.43467685,x1**2*x2*x3*x4*(x1*x3**2*x4**2*x5 + 1),5,2,3,0.04,36.271,-0.4099,8.2445,1144.7,0.00956253
18,5000,0.01,0.030739667,47.11857867,0.453976745,0.030788587,0.148243163,0.043051409,4.470737254,601.5855467,696.9511282,445.587271,81.26704526,4.667716351,50,"['add', 'sub', 'mul', 'div']",,10,0.453976745,0.043051409,3*x1*x2*x3 + x1 + x2*x3,3,5,1,0.05,4.8684,0.0878,3.2044,46.928,0.082544328
19,5000,0.01,0.030026074,44.56635737,0.031244166,0.030069051,0.041545824,0.030884629,1.71233209,601.4379313,601.4704411,71.87480259,43.43985152,4.230499541,50,"['add', 'sub', 'mul', 'div']",,10,0.031244166,0.030884629,x1*(x1**2 + x1 + 1),1,3,3,0.005,4.3115,1.3223,3.0459,20.049,0.836075334
20,5000,0.01,0.020230784,41.8882606,0.020268175,0.020276858,0.022607884,0.020947178,0.0202533,600.4923327,600.3425848,38.88634706,27.90714455,2.290099227,50,"['add', 'sub', 'mul', 'div']",,10,0.020276858,0.020947178,2*x1,1,2,2,0.005,2.3144,0.0088,2.0108,8.0556,0.999921783
21,5000,0.01,0.024728984,44.48463869,0.108673805,0.024812845,0.051913083,0.049598141,2.742215804,603.5151582,600.626421,130.3451207,59.51604962,3.571903413,50,"['add', 'sub', 'mul', 'div']",,10,0.024812845,0.051913083,2*x2*(x3 + 1),3,4,1,0.01,3.5758,0.0117,2.5174,22.918,0.408816459
22,5000,0.01,10.69641951,41.51036334,5.504897962,7.718477006,4.576145286,6.034311511,11.83433609,602.6157062,601.5985215,546.0604966,561.4122148,11.76885692,50,"['add', 'sub', 'mul', 'div']",,10,7.718477006,4.576145286,x1*x3**2*x4*(x1**2 + x2*x3*x5**2),5,2,3,0.01,10.821,-0.2736,3.9388,350,-0.011883984
23,5000,0.01,0.014004296,42.0173347,0.014001532,0.014002645,0.01818612,0.015027901,1.181241747,601.4128268,601.1268282,53.7291553,29.79191875,1.650274617,50,"['add', 'sub', 'mul', 'div']",,10,0.014001532,0.015027901,x1*(x1 + 1),1,2,3,0.005,1.6695,1.3455,1.4304,6.2991,0.487443276
24,5000,0.01,0.031699858,47.17670035,0.408492613,0.031692687,0.172206445,0.043739499,5.038150819,605.1756978,603.136008,247.6161778,122.1062036,5.047327787,50,"['add', 'sub', 'mul', 'div']",,10,0.408492613,0.043739499,x1*x3*(2*x2 + 3),3,5,1,0.01,5.0534,0.0416,3.0894,50.178,0.000857473
25,5000,0.01,0.019943512,25.25184989,0.21810628,0.019994843,0.076128653,0.027728299,1.991113981,602.7247653,602.905951,57.79491425,33.46717954,2.85537388,50,"['add', 'sub', 'mul', 'div']",,10,0.019994843,0.027728299,x1*x2**2 + x1*x3 + x2,3,3,2,0.04,2.7902,0.038,1.9958,24.731,0.513603808
26,5000,0.01,0.037607479,27.70210481,0.162440829,0.037607078,0.090785803,0.046582473,3.738552937,600.38743,600.5055835,57.70964503,37.80030751,4.675270448,50,"['add', 'sub', 'mul', 'div']",,10,0.162440829,0.046582473,x1**2*x2**2 + x1**2 + x2**3,2,3,3,0.01,4.6373,3.0918,3.8082,35.344,0.360117192
27,5000,0.01,0.020094616,25.8838892,0.20178241,0.020079357,0.136549298,0.035934377,2.525029854,602.77829,600.0458384,78.99114251,32.10099387,2.721252159,50,"['add', 'sub', 'mul', 'div']",,10,0.020079357,0.035934377,x1*x2*x3 + x1*x4 + x2*x4 + x2,4,4,1,0.01,2.662,-0.0412,1.9574,25.88,0.138944442
28,5000,0.01,0.026121734,25.49581194,0.02650955,0.026140792,0.028131767,0.026913141,2.307659132,601.0490112,601.432127,29.98958015,20.12072897,2.542042886,50,"['add', 'sub', 'mul', 'div']",,10,0.02650955,0.026913141,x1*(2*x1 + 1),1,3,2,0.005,2.6406,2.647,2.6676,10.201,0.174053055
29,5000,0.01,0.038766988,26.18036652,0.038778886,0.038857511,0.040107168,0.039365605,0.038749943,601.1987023,600.2665875,31.20956659,17.61166215,4.706072144,50,"['add', 'sub', 'mul', 'div']",,10,0.038778886,0.039365605,4*x1,1,4,1,0.005,4.6109,0.0538,3.9914,16.08,0.999932193
30,5000,0.01,0.019794781,26.26520514,0.019788824,0.019805202,0.031039403,0.022045676,1.627167362,604.8949232,602.3989363,28.18527007,19.45587325,3.107114275,50,"['add', 'sub', 'mul', 'div']",,10,0.019788824,0.022045676,x1**2*(x1 + 1),1,2,3,0.005,3.2104,1.2875,1.983,16.018,0.725732683
31,5000,0.01,0.050270829,29.11776114,0.530143587,0.050580225,0.915727289,0.09671714,9.991754576,603.9406991,601.7213254,196.1948879,53.25528622,10.64708831,50,"['add', 'sub', 'mul', 'div']",,10,0.050580225,0.09671714,x1**3*x2**2*x3 + x1**2*x2**2*x3 + x1**2*x3 + x1*x2**2*x3 + x2**2,3,5,3,0.02,9.8985,1.1099,4.7644,172.83,0.119011393
32,5000,0.01,0.024248168,26.95247078,1.000621456,0.024253183,0.378173866,0.039266275,4.292395478,600.3881879,603.1565564,223.6940401,49.63456488,4.2903125,50,"['add', 'sub', 'mul', 'div']",,10,1.000621456,0.039266275,x2*x4*(2*x1*x3 + x1 + 1),4,4,1,0.005,4.2373,0.0296,2.3879,63.536,-0.000974452
33,5000,0.01,0.049842339,29.97560573,0.296958686,0.049995017,0.15814023,0.070126912,4.611215432,603.4738955,601.0280018,90.66077733,70.81421471,7.483754468,50,"['add', 'sub', 'mul', 'div']",,10,0.296958686,0.070126912,x1**2*x2**3 + x1*x2 + x1 + x2**3 + x2**2,2,5,3,0.03,8.3024,1.2253,4.9984,81.768,0.620333311
34,5000,0.01,0.048511744,28.79001784,1.131894504,0.048591609,0.834817596,0.070603319,6.595016536,603.7202303,601.8948963,232.1815913,66.11613464,7.819608059,50,"['add', 'sub', 'mul', 'div']",,10,0.048591609,0.070603319,x1**2*x2*x3**3 + x1**2 + x2 + x3**3 + x3,3,5,3,0.02,7.6309,1.5625,4.6648,116.16,0.287079975
35,5000,0.01,0.012159628,26.12867284,0.012171311,0.012168348,0.025561794,0.015764306,1.370082516,601.7141757,600.0497708,53.98957491,24.49632072,1.76592412,50,"['add', 'sub', 'mul', 'div']",,10,0.012168348,0.015764306,x2*(x1 + 1),2,2,1,0.005,1.7658,-0.0535,1.2473,11.582,0.396768129
36,5000,0.01,0.012092552,26.37821722,0.012514015,0.012108044,0.022541601,0.023836232,1.330153653,601.5195568,603.5591328,69.26676679,40.87041831,1.743881182,50,"['add', 'sub', 'mul', 'div']",,10,0.012108044,0.022541601,x2*(x3 + 1),3,2,2,0.005,1.7497,0.0178,1.2341,11.661,0.417937354
37,5000,0.01,3.119119227,31.63702536,3.782730006,1.719600719,1.293201437,0.891283223,13.53847602,610.1104858,610.1033437,483.715399,535.7710054,13.52382298,50,"['add', 'sub', 'mul', 'div']",,10,1.719600719,0.891283223,x1**3*x4*(x3**3 + x4**2),4,2,3,0.01,13.785,-0.0153,5.9886,231.25,-0.003173472
38,5000,0.01,0.014426778,28.02448487,0.014441812,0.014439946,0.015604679,0.015547375,1.217769812,600.224458,600.4203959,27.7654829,17.07978559,1.653558753,50,"['add', 'sub', 'mul', 'div']",,10,0.014441812,0.015547375,x1*(x1 + 1),1,2,3,0.005,1.6787,1.3397,1.4207,6.3003,0.456778456
39,5000,0.01,0.038891255,30.92178535,0.986657737,0.038961447,0.399119126,0.05542085,5.543580508,604.4963415,600.8159163,232.5883257,64.18201447,6.768999775,50,"['add', 'sub', 'mul', 'div']",,10,0.038961447,0.05542085,x1*x2**3 + x2**2*x3**3 + x3**2*x4,5,3,3,0.01,6.5633,-0.0384,3.9163,87.951,0.329068665
40,5000,0.01,2.293700912,29.78154659,0.601900098,0.348259385,0.238372985,0.185237234,4.430345553,603.6380539,601.5787673,166.485064,108.4324691,6.926805559,50,"['add', 'sub', 'mul', 'div']",,10,0.348259385,0.185237234,x1**2*x3 + x1 + x2**2*x3**3 + x2**2,3,4,3,0.01,6.8442,1.2668,4.4123,76.793,0.590779523
41,5000,0.01,0.037057323,28.72385216,0.037896523,0.037070592,0.076932879,0.049307037,3.248657089,653.8245416,600.4534962,80.67392302,61.03273702,5.633404671,50,"['add', 'sub', 'mul', 'div']",,10,0.037070592,0.049307037,x2*(2*x1**2 + x1*x2 + 1),2,4,3,0.005,5.2875,-0.0446,3.5627,49.584,0.665579925
42,5000,0.01,0.037742385,32.38912845,0.122161085,0.037762834,0.081356215,0.046528783,4.161305595,600.8408825,600.5657859,98.42284298,43.36431885,5.340219329,50,"['add', 'sub', 'mul', 'div']",,10,0.037762834,0.046528783,x1**2*x2**2 + x1**2*x2 + x1**2 + x1*x2**2 + x2,2,5,2,0.02,5.2583,3.2082,3.7225,38.352,0.392618904
43,5000,0.01,0.013698686,27.10006905,0.380756724,0.013708485,0.104461273,0.026737237,1.564304469,602.933013,600.2532659,130.5474694,60.56645131,1.911400006,50,"['add', 'sub', 'mul', 'div']",,10,0.013708485,0.026737237,x4*(x2*x3 + 1),5,2,1,0.005,1.999,-0.017,1.3897,18.337,0.327433458
44,5000,0.01,0.031309883,29.56984973,0.031366746,0.031346269,0.066993533,0.036167017,3.98462175,604.8472714,600.8402622,79.71172452,37.14609694,4.102547924,50,"['add', 'sub', 'mul', 'div']",,10,0.031366746,0.036167017,x2*(3*x1 + 1),2,4,1,0.02,4.1555,-0.0115,3.0632,27.338,0.054504829
45,5000,0.01,3.881624223,32.28057694,2.355538993,2.287469916,0.917463635,1.174460248,5.493035772,600.2433712,608.1053381,290.6830382,547.6796722,5.963469844,50,"['add', 'sub', 'mul', 'div']",,10,2.355538993,0.917463635,x1**2*x2*x3*x5**2 + x1**2*x2*x4**2 + x1 + x2*x5 + x3*x5,5,5,2,0.01,6.0788,-0.0978,3.5733,99.084,0.151428422
46,5000,0.01,1.722100299,25.89174247,0.44736829,0.509800686,0.250434734,0.31577485,1.729093422,601.6375992,603.1735504,153.298151,165.605407,2.349433097,50,"['add', 'sub', 'mul', 'div']",,10,0.509800686,0.250434734,x1*x2*x3*x4 + x2 + x3,4,3,1,0.005,2.4616,0.0383,1.7834,27.871,0.45823662
47,5000,0.01,0.021044919,27.51612759,0.157834384,0.021057874,0.073374422,0.027325936,2.632927007,604.1314292,600.3652828,96.09323263,61.39305615,2.834967667,50,"['add', 'sub', 'mul', 'div']",,10,0.021057874,0.027325936,x2*(x1**2*x2 + 1),4,2,3,0.005,2.8427,1.7694,2.0589,19.616,0.137440502
48,5000,0.01,2.138971238,26.49227953,1.005123737,1.090702387,0.754437941,0.595543322,2.142771494,600.9538176,603.4286916,448.5215058,359.0896914,2.440663778,50,"['add', 'sub', 'mul', 'div']",,10,1.090702387,0.595543322,x2*(x1*x3*x4*x5 + 1),5,2,1,0.005,2.4004,0,1.5334,36.464,0.228686304
49,5000,0.01,0.020087438,27.55550694,0.02009859,0.020100711,0.021009949,0.021113362,0.020102518,600.3189454,603.841423,20.16193748,25.00527215,2.294003167,50,"['add', 'sub', 'mul', 'div']",,10,0.020100711,0.021009949,2*x1,1,2,1,0.005,2.3169,-0.0236,2.0055,8.0529,0.999923208
50,5000,0.01,0.020522283,28.50460315,0.021024909,0.020534988,0.023971584,0.020867149,1.192179936,601.8322546,611.8018265,41.54552126,29.04710579,2.633496207,50,"['add', 'sub', 'mul', 'div']",,10,0.021024909,0.020867149,x1*(x1 + 2),1,3,3,0.005,2.6396,1.3763,2.0339,9.0917,0.795050828
51,5000,0.01,0.024303367,28.79083967,0.602521609,0.024318784,0.142867385,0.034022645,3.557477368,604.4541337,603.4009058,182.0736911,82.98036122,3.55699571,50,"['add', 'sub', 'mul', 'div']",,10,0.024318784,0.034022645,x1*x3*(x2**2 + 1),4,2,2,0.02,3.525,0.0178,2.3537,34.395,-0.001078431
52,5000,0.01,0.052542061,51.60920978,1.698954293,0.052534406,1.048513714,0.07832372,9.105589581,604.1482539,604.4363005,517.7051589,98.15268254,9.47039069,50,"['add', 'sub', 'mul', 'div']",,10,0.052534406,0.07832372,x1**3*x2**3*x3 + x2**3 + x2**2 + x2*x3 + x3,3,5,3,0.01,10.633,1.0973,5.1228,211.85,0.075245694
53,5000,0.01,0.049586308,50.90699625,0.049554925,0.049575004,0.051882101,0.052408981,0.049577154,603.7995842,600.6329005,40.8265624,39.83114886,5.746440079,50,"['add', 'sub', 'mul', 'div']",,10,0.049575004,0.051882101,5*x1,1,5,1,0.02,5.7704,-0.0384,4.9984,20.153,0.999925396
54,5000,0.01,2.474682415,48.57396269,1.03695896,1.426426633,0.527055041,0.651326925,3.248988278,610.2014852,615.2564781,749.340992,613.295846,3.249749124,50,"['add', 'sub', 'mul', 'div']",,10,1.03695896,0.527055041,x1*(x2*x3*x4*x5 + x2*x4*x5 + x2*x4 + x2 + x3),5,5,1,0.005,3.5378,0.0237,2.1605,62.366,-0.002793342
55,5000,0.01,0.037187199,47.62922239,0.194186634,0.037247026,0.189547423,0.052285904,4.200618683,610.6556611,602.0168586,288.5135489,87.29639077,6.80348676,50,"['add', 'sub', 'mul', 'div']",,10,0.037247026,0.052285904,x1**2*x2**3 + x2,2,2,3,0.01,6.3338,-0.1071,3.7555,65.161,0.617655435
56,5000,0.01,3.079252341,50.86261654,0.591865557,1.055220684,0.963050993,0.551626788,9.601335172,604.0566764,614.0006676,733.9131482,951.3277905,10.27508743,50,"['add', 'sub', 'mul', 'div']",,10,0.591865557,0.551626788,x2**2*(x1**3 + x1*x3 + x2*x3**3),3,3,3,0.01,10.981,-0.0914,5.6103,164.42,0.126134502
57,5000,0.01,1.62013114,61.66477227,0.140803487,0.651497363,0.245996152,0.118335517,5.064616315,602.5212629,605.7796407,432.8771448,249.8917534,6.304500606,50,"['add', 'sub', 'mul', 'div']",,10,0.651497363,0.118335517,x1*x2*(x1*x3**2 + x1 + x3**2 + x3),3,4,2,0.01,6.2469,-0.049,3.3344,90.211,0.354655254
58,5000,0.01,0.027143115,51.27800584,0.028949588,0.027150359,0.029656786,0.029254473,2.472692619,600.6464465,601.5696507,56.13282824,40.11279488,3.383885339,50,"['add', 'sub', 'mul', 'div']",,10,0.028949588,0.029254473,2*x1*(x1 + 1),1,4,2,0.01,3.263,2.5744,2.7398,12.6,0.463771391
59,5000,0.01,0.065803757,53.83875084,4.550796466,0.065791998,3.096454134,0.16372559,16.21291341,601.1132312,600.857538,1347.908411,94.70501184,16.34645351,50,"['add', 'sub', 'mul', 'div']",,10,4.550796466,0.16372559,x1**3*x2**2*x3**3 + x1**2*x2 + x1 + x3,3,4,3,0.005,17.207,0.0571,6.5659,355.82,0.014747563
60,5000,0.01,0.017031367,51.30753016,0.018857194,0.017015775,0.042480412,0.030464414,2.303794408,629.497499,601.575772,122.8303237,68.25021577,3.015182366,50,"['add', 'sub', 'mul', 'div']",,10,0.017015775,0.030464414,x2*(x1*x2 + x1 + x2 + 1),2,4,2,0.005,2.8859,1.2919,1.6962,22.813,0.416204735
61,5000,0.01,1.59643754,50.68784213,0.424610446,0.323102904,0.125739172,0.152233482,2.895237515,603.4499965,606.8595746,285.553751,250.6852582,2.892698908,50,"['add', 'sub', 'mul', 'div']",,10,0.424610446,0.125739172,x1**2 + x1*x3**2*x4 + x3**2,4,3,3,0.005,2.9436,2.6932,2.8349,25.767,-0.003412498
62,5000,0.01,8.81543523,55.11026359,13.02254466,5.377528637,6.102596137,3.704751331,21.94893257,600.2980418,619.8398027,1775.74546,667.5637836,21.93774096,50,"['add', 'sub', 'mul', 'div']",,10,13.02254466,3.704751331,x1*x3*x4*x5*(x1**2*x5**2 + x3**2*x4**2),5,2,3,0.005,23.43,0.0168,8.1819,606.46,-0.001049189
63,5000,0.01,0.048792618,50.49191356,1.030527493,0.048781909,0.557121235,0.060762965,2.95719925,601.2344713,607.7361028,655.2025359,147.3459947,2.947770006,50,"['add', 'sub', 'mul', 'div']",,10,1.030527493,0.060762965,x1*x3*(x2*x4*x5 + x2*x5 + x4),5,3,1,0.04,3.0723,-0.0071,1.7055,52.71,-0.006426197
64,5000,0.01,0.03287403,54.78339911,0.033021439,0.032875967,0.03730882,0.037863632,2.424194313,602.4460874,601.8434489,62.08741546,40.5926826,4.111356312,50,"['add', 'sub', 'mul', 'div']",,10,0.032875967,0.037863632,x1*(2*x1 + 3),1,5,2,0.005,4.2537,2.7275,3.2942,15.225,0.651488794
65,5000,0.01,0.027023084,49.11948729,0.027083638,0.027076186,0.03244117,0.028560771,2.408636302,600.9472163,609.7466142,58.62351632,40.42878389,2.4083155,50,"['add', 'sub', 'mul', 'div']",,10,0.027076186,0.028560771,2*x1**2,1,2,2,0.005,2.3978,2.6832,2.6842,8.0763,-0.004489022
66,5000,0.01,0.0200723,48.31340384,0.020092024,0.0201021,0.037340844,0.023811086,1.349002302,610.2475383,602.7986784,62.8137126,49.84823728,2.669790894,50,"['add', 'sub', 'mul', 'div']",,10,0.020092024,0.023811086,x2*(x1 + 2),2,3,1,0.005,2.6609,0.0765,2.0006,15.654,0.744607809
67,5000,0.01,0.040391339,55.78282356,0.307366325,0.040405266,0.168681899,0.04930225,4.722987532,604.515007,600.3915071,211.0122912,117.1428101,7.260631394,50,"['add', 'sub', 'mul', 'div']",,10,0.307366325,0.04930225,x1**3*x2**2 + x1*x2 + x1 + x2,2,4,3,0.01,6.7893,0.0687,4.0527,71.393,0.575445276
68,5000,0.01,0.02763797,49.72546244,0.027682867,0.027658902,0.050969312,0.041551597,2.638753236,636.9959099,604.4127557,139.7336659,55.55892038,3.745670274,50,"['add', 'sub', 'mul', 'div']",,10,0.027682867,0.041551597,2*x1*x2 + x1 + 2*x2,2,5,1,0.005,3.7362,0.0045,2.7761,22.961,0.503193497
69,5000,0.01,1.724782906,46.66714668,0.456777062,0.421860349,0.206282687,0.223747529,2.157733115,603.048357,605.2479439,272.3555508,418.1211567,2.481821816,50,"['add', 'sub', 'mul', 'div']",,10,0.421860349,0.206282687,x2*(x1*x3*x4 + x3 + 1),4,3,1,0.005,2.5244,-0.0705,1.6743,29.976,0.244079544
70,5000,0.01,0.012429024,53.04498482,0.199868286,0.012435413,0.072660183,0.021500545,2.091672659,612.5959585,608.1345892,229.7965019,84.06365323,2.089786994,50,"['add', 'sub', 'mul', 'div']",,10,0.199868286,0.021500545,x1*x2*(x3 + 1),3,2,1,0.01,2.0478,0.0362,1.2543,21.858,-0.002534789
71,5000,0.01,6.609748464,54.47162342,3.229402402,3.343372373,1.036062046,1.05189726,7.180140904,603.911886,607.2297161,427.9967988,526.9289439,8.036311243,50,"['add', 'sub', 'mul', 'div']",,10,3.229402402,1.05189726,x2*x4**2*(x1*x2*x3**2 + 1),4,2,2,0.01,7.2379,-0.079,3.0719,145.9,0.201714619
72,5000,0.01,0.017672395,51.10490155,0.136221345,0.017688915,0.063968751,0.029823817,2.986967406,603.8268433,602.2097237,223.7147944,101.5038567,3.371363848,50,"['add', 'sub', 'mul', 'div']",,10,0.136221345,0.029823817,x1**2*x2*(x2 + 1),2,2,2,0.005,3.2966,1.7005,1.8226,23.979,0.214667273
73,5000,0.01,0.017422527,50.3184669,0.653838609,0.017417121,0.196995837,0.027587744,2.099367172,609.2994659,602.2565346,517.7813675,125.3587899,2.427816251,50,"['add', 'sub', 'mul', 'div']",,10,0.653838609,0.027587744,x3*(x1*x4*x5 + x4 + 1),5,3,1,0.03,2.5155,-0.002,1.6771,36.805,0.251910372
74,5000,0.01,0.01773796,51.32739162,0.371166084,0.017743346,0.102025923,0.03377537,2.306106054,687.1578989,600.835813,110.1727777,147.0013931,2.305823787,50,"['add', 'sub', 'mul', 'div']",,10,0.017743346,0.03377537,x1*x2 + x1*x4 + x2*x3,4,3,1,0.01,2.3149,-0.002,1.7489,19.968,-0.000391414
75,5000,0.01,0.02468954,53.87182808,0.025227557,0.024694272,0.053811752,0.029223062,2.538657404,606.6253347,608.5920186,127.1691306,85.61316943,3.461949444,50,"['add', 'sub', 'mul', 'div']",,10,0.024694272,0.029223062,2*x1*(x2 + 1),2,4,1,0.01,3.4928,0.0092,2.4876,23.281,0.460725007
76,5000,0.01,0.030936414,49.82265115,0.098799619,0.0309503,0.11000195,0.037230265,3.959715818,606.8290575,606.5772641,164.3200097,102.6422157,4.062389644,50,"['add', 'sub', 'mul', 'div']",,10,0.098799619,0.037230265,x1*(3*x2 + 1),2,4,1,0.005,4.1156,-0.0694,3.0752,27.175,0.049863033
77,5000,0.01,3.256362207,63.96219707,8.98084851,2.76014092,3.976284973,2.437228713,18.27922353,602.4292965,603.5120518,1584.664566,347.2298009,18.29011154,50,"['add', 'sub', 'mul', 'div']",,10,2.76014092,2.437228713,x1**2*x2**3*x4 + x1*x2*x4**3 + x2**3*x3**3*x4**2 + x3,4,4,3,0.01,17.585,-0.0392,7.3026,416.66,-0.000427905
78,5000,0.01,0.039918303,26.29791951,0.040270344,0.04008141,0.041754733,0.040503674,0.040003679,602.0947397,602.1439569,20.32398295,15.54313111,4.645976339,50,"['add', 'sub', 'mul', 'div']",,10,0.040270344,0.040503674,4*x1,1,4,1,0.005,4.6363,-0.0159,4.0172,16.072,0.999925858
