i,n_samples,noise,SR,SR_time,TPOT,TPOTSR,AK,AKSR,LR,timeTPOT,timeTPOTSR,timeAK,timeAKSR,meanguess,generations,function_set,epochs,max_TPOT_time,TPOT_maximizer,AK_maximizer,polynomial,n_variables,n_terms,degree,best_pars_coef,y_std,y_mean,y_abs_mean,y_range,r2
1133,5000,0.05,0.2670908,48.16999412,0.736295326,0.267179308,0.700138349,0.282453798,10.29713981,604.6287432,600.5791192,380.3048077,119.1830564,11.08818219,50,"['add', 'sub', 'mul', 'div']",,10,0.267179308,0.282453798,x1**3*x2**3 + x1 + x2**3 + x2,2,4,3,0.005,10.031,-0.2109,5.5154,124.56,0.137531974
1134,5000,0.05,4.29094747,48.86011076,2.137043061,2.204560066,0.913407247,0.747458546,9.734799602,603.0748398,601.195817,245.6411438,242.2191181,10.02389229,50,"['add', 'sub', 'mul', 'div']",,10,2.204560066,0.747458546,x2**2*x3*(x1*x3 + x1 + x3*x4**2 + x3),4,4,2,0.005,8.7725,4.1693,4.5402,114.47,0.054667001
1135,5000,0.05,3.18714781,45.82801366,0.701056742,0.639226744,0.421307851,0.266482896,4.021257697,612.5347843,619.669908,187.7612374,305.5859039,4.538169482,50,"['add', 'sub', 'mul', 'div']",,10,0.701056742,0.266482896,x3*(x1*x2**2*x3 + x1*x2**2 + 1),3,3,2,0.005,4.5329,0.0078,2.3179,80.876,0.21017638
1136,5000,0.05,0.108307778,43.61806321,1.080724902,0.108245762,0.529017339,0.119356067,3.912058925,614.7233689,603.3736873,517.808846,139.8673928,3.908201179,50,"['add', 'sub', 'mul', 'div']",,10,1.080724902,0.119356067,x2*x3*(2*x1*x4 + 1),4,3,1,0.005,3.749,-0.0063,2.2231,57.169,-0.003338869
1137,5000,0.05,0.157159274,47.2012167,0.164458698,0.157239819,0.261992,0.16612094,4.429420967,603.9721999,605.2310555,196.0972447,127.2904596,4.539961127,50,"['add', 'sub', 'mul', 'div']",,10,0.157239819,0.16612094,x2*(3*x1*x3 + 1),3,4,1,0.005,4.7126,-0.0998,3.1428,41.824,0.047832419
1138,5000,0.05,0.081019862,43.83598709,0.120421945,0.081061583,0.095505727,0.088612127,1.331574351,608.1380303,600.6287315,93.32024693,82.67216063,2.078268764,50,"['add', 'sub', 'mul', 'div']",,10,0.081061583,0.088612127,x1*x3 + x1 + x2,3,3,1,0.005,2.0681,0.0294,1.6129,14.539,0.589105275
1139,5000,0.05,0.069046686,42.07023454,0.104527089,0.069045871,0.078953164,0.074681804,1.317625428,607.9629509,601.1305201,80.79153419,78.56330252,1.743265616,50,"['add', 'sub', 'mul', 'div']",,10,0.104527089,0.074681804,x1*x3 + x2,3,2,1,0.005,1.7768,-0.035,1.4287,11.191,0.428210241
1140,5000,0.05,0.282624165,50.0539825,0.867097189,0.282252575,1.227108876,0.314797943,13.84486223,602.6795752,605.242599,306.5904398,93.88056254,16.15982513,50,"['add', 'sub', 'mul', 'div']",,10,0.282252575,0.314797943,x1**2*(x1*x2**3 + 2*x2**3 + 1),2,4,3,0.01,14.201,1.4322,5.7603,238.81,0.265688668
1141,5000,0.05,2.075310523,47.47761464,1.475073398,0.737414719,0.602608008,0.365535983,4.318943569,600.9450264,600.3343906,753.5723288,367.4767382,4.305256446,50,"['add', 'sub', 'mul', 'div']",,10,1.475073398,0.365535983,x3*x5*(x1*x2*x4 + x1 + 2*x2*x4),5,4,1,0.005,4.4386,-0.0639,2.4801,64.859,-0.006866471
1142,5000,0.05,2.312226183,42.72273827,1.874028703,0.934596179,0.522448139,0.568638007,5.481921632,602.4257598,603.9852037,746.8004494,370.7232671,5.476641965,50,"['add', 'sub', 'mul', 'div']",,10,0.934596179,0.522448139,x3*(x2*x3**2 + x4**3*x5),5,2,3,0.005,5.3507,0.0257,3.2384,66.451,-0.002111354
1143,5000,0.05,2.708602039,45.03768563,2.66976809,2.17627822,1.96388275,0.849778475,5.64917911,614.516264,600.7634256,289.5171418,450.7633832,5.634795674,50,"['add', 'sub', 'mul', 'div']",,10,2.17627822,0.849778475,x2*x3*x4*(x1*x5**2 + x2*x3*x4),5,2,2,0.005,6.161,2.3707,2.8456,73.998,-0.0060202
1144,5000,0.05,13.10654087,48.50518465,8.720801966,6.502499196,4.769933547,6.734559471,17.70614779,606.1081779,601.1290038,916.8968303,571.4173048,18.23694847,50,"['add', 'sub', 'mul', 'div']",,10,6.502499196,6.734559471,x1**3*x2**2 + x1**2*x2**3*x3*x4**3 + x2**3*x4 + x2**2*x4**3 + x4**2,4,5,3,0.01,18.394,0.5906,7.8105,454.32,0.056391497
1145,5000,0.05,1.78521943,46.56313324,0.848343204,0.903348453,0.349641179,0.289007619,2.936400943,601.7930284,602.3167233,477.5603046,503.5557005,2.937755172,50,"['add', 'sub', 'mul', 'div']",,10,0.848343204,0.289007619,x2*(x1*x4*x5 + x3*x4 + x3*x5),5,3,1,0.02,2.8526,0.0138,1.7979,39.024,0.00055063
1146,5000,0.05,0.086396504,45.16706967,0.185098054,0.086428231,0.122682222,0.09362485,1.607891104,619.6848283,600.4851282,226.6524556,51.0384798,2.260151305,50,"['add', 'sub', 'mul', 'div']",,10,0.185098054,0.09362485,x1*x2*x3 + x1 + x3,3,3,1,0.005,2.2487,0.0273,1.7072,21.305,0.492800819
1147,5000,0.05,0.107282537,44.95832062,0.117334122,0.107195971,0.185780387,0.116768327,3.194146962,609.8372059,607.9099774,291.5585165,55.05982494,3.184913588,50,"['add', 'sub', 'mul', 'div']",,10,0.107195971,0.116768327,x2*(x1*x3**2 + x1*x3 + x2),3,3,2,0.005,3.1839,1.3555,2.1365,39.876,-0.006112044
1148,5000,0.05,0.118332886,47.66766906,0.493302576,0.118479791,0.174433854,0.131463738,2.093337732,602.0916955,601.4099131,310.1675029,127.2498147,3.103855439,50,"['add', 'sub', 'mul', 'div']",,10,0.118479791,0.131463738,x2*x3*x5 + 2*x3 + x4*x5,5,4,1,0.005,3.1279,-0.0842,2.4385,25.594,0.544713237
1149,5000,0.05,2.830267885,50.13082004,0.75044092,0.88093029,0.401147584,0.349284042,3.43789274,609.968358,604.5714974,252.0843568,190.9893758,5.654112508,50,"['add', 'sub', 'mul', 'div']",,10,0.75044092,0.349284042,x1**2 + x1*x3**2*x4 + x2**2*x4 + x3**2*x4 + x4,4,5,2,0.005,5.5412,1.313,4.1602,56.128,0.630258262
1150,5000,0.05,0.101260717,45.50407624,0.103172644,0.101273884,0.10434639,0.101679135,1.201515339,600.2834282,609.5244966,70.08583093,24.31975031,2.609100924,50,"['add', 'sub', 'mul', 'div']",,10,0.103172644,0.101679135,x1*(x1 + 2),1,3,2,0.005,2.586,1.3066,1.987,9.5065,0.787741551
1151,5000,0.05,0.212234998,49.03512359,0.759928663,0.212303089,0.689924044,0.233567209,8.200643553,602.783241,600.5855248,503.3484192,119.8117006,8.213874413,50,"['add', 'sub', 'mul', 'div']",,10,0.212303089,0.233567209,x1**3*x2**3 + x1,2,2,3,0.01,8.8025,0.0054,4.1929,118.29,0.003069454
1152,5000,0.05,120.9926295,49.64395189,111.0706332,89.5923916,118.5061848,105.4219898,129.2712586,607.2963588,606.3555555,300.4089594,223.3551683,128.9912255,50,"['add', 'sub', 'mul', 'div']",,10,89.5923916,105.4219898,x1**3*x2**3*x3**3*x4**3*x5**2 + x1**2*x2*x3*x4*x5 + x1*x4**3*x5**2 + x1 + x3,5,5,3,0.02,133.09,1.6435,23.355,6700.9,-0.008165258
1153,5000,0.05,0.20737426,51.97907162,0.207536861,0.207287668,0.215629289,0.211247514,3.435470335,602.9181778,600.4129872,66.03075147,34.60703468,4.203777572,50,"['add', 'sub', 'mul', 'div']",,10,0.207536861,0.211247514,x1*(3*x1 + 2),1,5,2,0.02,4.2564,3.9937,4.0753,17.173,0.331999017
1154,5000,0.05,4.180859076,49.20157504,2.14519837,2.072271733,1.021111789,0.846362422,5.593973641,641.5162535,635.1781816,409.8974581,371.7001488,6.101802952,50,"['add', 'sub', 'mul', 'div']",,10,2.14519837,0.846362422,x1*x4*(x1*x2*x3**2*x4 + x2 + x4),4,3,2,0.02,7.0009,0.2258,2.9961,141.01,0.159389602
1155,5000,0.05,0.170342751,46.07024026,1.030648753,0.170008239,0.419505317,0.192479116,6.670040783,603.1255295,602.5658424,377.1625028,85.05228996,7.916347702,50,"['add', 'sub', 'mul', 'div']",,10,0.170008239,0.192479116,x2**2*x3*(x1*x2 + x1*x3 + x2*x3),3,3,3,0.005,7.9266,-0.1526,3.547,156.13,0.290007178
1156,5000,0.05,1.782540119,44.52099061,0.64575055,0.662638736,0.224204208,0.2206979,1.780147437,603.5310447,608.1116762,366.1722734,502.3126042,2.101412704,50,"['add', 'sub', 'mul', 'div']",,10,0.662638736,0.2206979,x1*x2*x4*x5 + x3,5,2,1,0.005,2.14,-0.0239,1.5529,24.783,0.28234882
1157,5000,0.05,0.201918636,48.31578422,0.798673871,0.201888223,0.329466497,0.214230947,6.049832134,605.8966455,600.2434256,283.1437314,93.09608603,6.161354515,50,"['add', 'sub', 'mul', 'div']",,10,0.201888223,0.214230947,x1**2*x3**2*x4**2 + x1**2 + x4,4,3,3,0.03,5.9402,3.7787,4.0219,54.146,0.034415602
1158,5000,0.05,0.131595439,46.40895629,0.141210906,0.131488393,0.143696825,0.137802208,1.687204022,601.7487073,600.3096049,69.54623079,92.80729294,1.687412173,50,"['add', 'sub', 'mul', 'div']",,10,0.131488393,0.137802208,x1**2 + x2**2,3,2,3,0.005,1.6927,2.623,2.6244,7.9967,-0.004962343
1159,5000,0.05,2.834698355,51.57719827,1.878369969,1.279923851,0.678995646,0.627027472,4.646183189,611.7285104,603.3533905,508.9746881,596.5464702,5.261439907,50,"['add', 'sub', 'mul', 'div']",,10,1.279923851,0.627027472,x1**2 + x1 + x2*x3**2*x5**2 + x2*x4**2*x5 + x4**2,5,5,2,0.01,4.8521,2.6697,3.9328,60.507,0.220163712
1160,5000,0.05,0.364591109,53.69017768,2.354747175,0.364653663,1.517631688,0.437519651,14.66765393,602.9812655,603.2246745,668.5794678,86.62661695,14.67583119,50,"['add', 'sub', 'mul', 'div']",,10,0.364653663,0.437519651,x2*(x1**3*x2**2 + x1**3*x3**2 + x1*x2*x3 + x2),3,4,3,0.02,14.399,1.2993,7.0995,219.14,0.001014515
1161,5000,0.05,0.141696123,46.23719859,0.143959675,0.141995319,0.151696551,0.156248441,2.620783337,604.2592385,603.711607,88.67829871,36.62851548,3.681217795,50,"['add', 'sub', 'mul', 'div']",,10,0.141995319,0.151696551,2*x1*x2 + x1 + 2*x2,2,5,1,0.005,3.689,-0.0226,2.7383,22.882,0.492290786
1162,5000,0.05,8.018972724,47.47121119,5.370436071,4.21034847,2.168316895,2.193205091,10.69774397,601.0961442,605.9921994,406.2077436,484.9274011,10.86511736,50,"['add', 'sub', 'mul', 'div']",,10,5.370436071,2.193205091,x4**2*(x1**2*x2*x3**2*x5 + x1 + x2*x3**2*x5),5,3,2,0.005,10.799,-0.0528,4.602,222.27,0.030177668
1163,5000,0.05,1.650513308,49.04551554,0.588867355,0.484515676,0.280800979,0.259679871,3.616248658,628.3217533,600.8148255,323.507122,392.9703066,4.444867112,50,"['add', 'sub', 'mul', 'div']",,10,0.484515676,0.280800979,x1**2*x2*x3 + x1*x3**2 + x1 + x2**2*x3**2,3,4,2,0.04,4.7379,1.7866,3.3321,45.729,0.335817247
1164,5000,0.05,0.115318644,45.73722053,0.209533283,0.115272728,0.141649762,0.123999486,2.132981782,601.0081992,600.3184536,143.1514785,72.51582432,3.191655426,50,"['add', 'sub', 'mul', 'div']",,10,0.115272728,0.123999486,x3*(x1*x2 + x1 + 2),3,4,1,0.01,3.0864,0.011,2.2738,28.388,0.552919111
1165,5000,0.05,0.106887647,46.0682435,0.109416683,0.106859342,0.117544137,0.109016973,1.640855036,606.7084732,601.6497419,61.81809807,23.46744847,3.107706892,50,"['add', 'sub', 'mul', 'div']",,10,0.109416683,0.109016973,x1**2*(x1 + 1),1,2,3,0.005,3.2188,1.3349,2.042,16.277,0.72076042
1166,5000,0.05,0.072576751,46.96727896,0.072595785,0.072594498,0.07456893,0.074272866,1.203987684,602.432492,600.1290457,62.36422586,26.3945868,1.669765803,50,"['add', 'sub', 'mul', 'div']",,10,0.072595785,0.074272866,x1*(x1 + 1),1,2,2,0.005,1.681,1.3578,1.4432,6.5757,0.480079741
1167,5000,0.05,0.098585151,47.40874267,0.120051017,0.09860318,0.1210436,0.103517698,2.186724446,616.1315722,603.6224139,91.14113402,76.75551772,2.668734054,50,"['add', 'sub', 'mul', 'div']",,10,0.120051017,0.103517698,x2*(x1*x2 + x1 + x2),2,3,2,0.02,2.6981,1.2989,1.9539,22.232,0.326838409
1168,5000,0.05,2.80282569,41.2425158,1.132361438,1.22556141,0.677211145,0.638908946,3.126332136,600.5825861,601.0407195,430.1024959,289.7678359,3.122910587,50,"['add', 'sub', 'mul', 'div']",,10,1.132361438,0.638908946,x4*x5*(x1*x2*x3 + x1*x2 + x1*x3 + 1),5,4,1,0.005,3.3599,-0.0272,1.8445,66.035,-0.002217539
1169,5000,0.05,3.676177204,43.2282083,1.474783533,1.526491056,0.711794847,0.897299997,3.890535381,601.1576476,601.3304381,711.9656827,435.5207853,3.891215505,50,"['add', 'sub', 'mul', 'div']",,10,1.526491056,0.711794847,x5*(x1*x2*x3*x4 + x1*x2*x3 + x1*x2*x4 + x4),5,4,1,0.005,3.7576,0.0153,2.0904,84.17,-0.003137558
1170,5000,0.05,0.148380429,55.62920618,0.149124104,0.149109192,0.1622541,0.155904968,2.984618815,604.3561096,603.5213804,125.1745758,49.35538244,3.32586199,50,"['add', 'sub', 'mul', 'div']",,10,0.149124104,0.155904968,x1*(2*x1 + x2**2 + x2),2,4,2,0.01,3.3865,2.6616,3.0286,23.886,0.194673353
1171,5000,0.05,0.255035856,52.66364741,0.255378351,0.255107946,0.256007244,0.257439151,0.255211165,600.9219298,601.2890091,35.36188745,28.00792146,5.735269344,50,"['add', 'sub', 'mul', 'div']",,10,0.255378351,0.256007244,5*x1,1,5,1,0.005,5.8311,-0.0742,5.0458,20.856,0.998013368
1172,5000,0.05,0.122056037,48.25725651,0.379571643,0.122108307,0.218322558,0.133965329,3.161394655,604.1870868,628.6188395,195.0134969,58.00708795,3.430382873,50,"['add', 'sub', 'mul', 'div']",,10,0.379571643,0.133965329,2*x2*x3*x4 + x2 + x4,4,4,1,0.01,3.4718,-0.0102,2.4337,33.694,0.150429707
