,dataset,SR,SR_time,TPOT,TPOTSR,AK,AKSR,LR,timeTPOT,timeTPOTSR,timeAK,timeAKSR,meanguess,generations,function_set,epochs,max_TPOT_time,
29,0-atici.csv,4.636854433,44.27587676,3.502101196,3.724827193,5.089789524,4.246712396,4.316777127,600.7729259,601.8545554,62.98271537,115.9174995,6.837223731,50,"['add', 'sub', 'mul', 'div']",,10,
30,0-atici.csv,3.143152649,37.43330956,2.079949574,2.346646879,2.619064369,2.441294088,2.265975446,600.1651363,601.017324,194.7264905,91.74265742,5.793923849,50,"['add', 'sub', 'mul', 'div']",,10,
31,0-atici.csv,3.048156005,41.42880321,2.235269714,2.242980117,3.047103341,3.529283943,3.339339032,601.7494028,601.9645216,113.6905487,65.56862259,6.210438118,50,"['add', 'sub', 'mul', 'div']",,10,
32,0-atici.csv,3.792367141,42.31241488,2.75742728,3.088676166,3.927085977,3.672903017,3.387218187,602.0377164,600.9633193,205.1503947,96.23940945,8.237517613,50,"['add', 'sub', 'mul', 'div']",,10,
33,0-atici.csv,3.593814934,38.85300159,2.836644915,3.050301242,2.580981155,2.760907043,3.442161773,600.9777565,601.1545477,254.6648929,135.4231317,7.332379495,50,"['add', 'sub', 'mul', 'div']",,10,
34,0-atici.csv,4.186548749,41.38843203,2.965790559,3.199936407,9.065139251,4.512051064,4.072720192,600.3951592,600.8267467,31.95323229,68.15951657,6.780976788,50,"['add', 'sub', 'mul', 'div']",,10,
35,0-atici.csv,4.678564906,51.31779456,3.556719108,3.499717633,3.723921893,3.991209834,4.028345921,600.7590687,600.2634792,210.2303865,164.2138257,6.141507392,50,"['add', 'sub', 'mul', 'div']",,10,
36,0-atici.csv,4.395977919,42.79066777,3.13103396,3.757072276,6.867849791,4.6372578,4.321830948,600.1830468,604.3611026,56.28406739,90.31440139,8.048689723,50,"['add', 'sub', 'mul', 'div']",,10,
37,0-atici.csv,4.083398133,44.89763212,3.149611813,3.042517272,3.215455454,3.64404701,3.508596829,600.8336408,600.5858324,190.3969858,57.16296101,7.06398017,50,"['add', 'sub', 'mul', 'div']",,10,
38,0-atici.csv,3.274167634,28.70509696,2.081796746,2.656966816,2.904202941,2.615440501,2.883986797,600.5923204,600.3536034,116.7028306,94.98106861,6.725865833,50,"['add', 'sub', 'mul', 'div']",,10,
39,0-atici.csv,2.954609137,35.19503832,2.467335264,2.755207191,4.459670656,4.344861908,3.161348795,600.0790966,600.3632622,36.99864388,16.98311806,5.194981696,50,"['add', 'sub', 'mul', 'div']",,10,
40,0-atici.csv,3.760358294,29.66136932,2.299914712,2.831415843,7.731223392,5.495276328,3.779519382,600.1280079,600.2259314,14.27266026,13.64866614,6.025795487,50,"['add', 'sub', 'mul', 'div']",,10,
41,0-atici.csv,3.332760797,25.62480354,2.737828533,2.490904196,7.005726531,4.521470933,2.891831436,600.9278405,600.6114812,13.59362912,11.92973423,5.879055876,50,"['add', 'sub', 'mul', 'div']",,10,
42,0-atici.csv,4.037947228,24.51551151,2.437121381,2.963381241,3.7838099,3.971809743,3.700611531,600.5169635,600.2514911,166.9020569,47.68266416,7.751466338,50,"['add', 'sub', 'mul', 'div']",,10,
43,0-atici.csv,4.041114808,28.42230582,2.871017185,3.115395951,6.109285765,4.117980749,3.937605675,602.0221655,602.4483562,47.67114639,24.80342174,7.23249696,50,"['add', 'sub', 'mul', 'div']",,10,
44,0-atici.csv,4.052334905,26.47443604,2.769938008,3.330569409,8.039917775,3.298111516,3.641639571,600.6113627,600.3271034,15.20499635,153.8154082,6.626538195,50,"['add', 'sub', 'mul', 'div']",,10,
45,0-atici.csv,3.334901373,31.47465014,2.183808012,2.710464904,6.393379634,4.23888545,3.161348795,600.2433686,600.8539708,16.84873581,14.92088628,5.194981696,50,"['add', 'sub', 'mul', 'div']",,10,
46,0-atici.csv,2.367196951,29.5241096,2.183375333,2.418639007,3.174474204,3.341626275,2.79943392,601.194032,600.3953862,96.13456416,34.74368358,6.75551604,50,"['add', 'sub', 'mul', 'div']",,10,
